id;north;east;mamsl;comment
EC_1;7428828;618759;332;Kvikkjokk fj�llstation
EC_2;7434395;621758;530;l�mna kungsleden
EC_3;7439140;628056;497;P�rtestugan
EC_4;7437695;625476;519;l�mna kungsleden
EC_5;7427744;615968;306;b�tplats
DC_1;7444364;619401;747;P�rek
EB_1;7428993;605288;440;Njunjesstugan
DD_1;7448197;642644;496;Laitaure
DD_2;7451129;642528;496;
DD_3;7451640;643124;534;Aktse, stigkrysset
DD_4;7452388;643993;772;l�mna kungsleden
DD_5;7454384;638555;1005;skierfe
DB_1;7446842;609499;1061;
DB_2;7453883;604645;742;
DB_3;7456637;604655;925;
DB_4;7458650;598779;890;
DB_5;7461471;599709;1115;
CB_1;7463477;598597;876;
CB_3;7464602;604595;870;
CB_2;7462701;608281;767;
CB_4;7470257;601866;800;
CB_5;7475051;609267;788;
CB_7;7479214;606836;1704;
CC_1;7475895;613475;802;skarjak�tan
BB_1;7479654;611681;880;
BB_2;7480575;607155;1268;
BB_3;7484380;606618;911;
BB_4;7491929;601902;761;
AB_1;7495778;594379;567;treparksm�tet
AB_2;7501067;599807;499;
AB_3;7505422;600534;446;f�rjel�get Akka
DB_6;7456696;610118;1251;
DB_7;7460845;613128;789;
DC_2;7456124;615221;1355;
DC_3;7453057;621379;963;
DC_4;7457445;616776;1288;
DC_5;7458004;617785;1411;
CC_2;7462375;613902;658;
CC_3;7463273;615481;635;
CB_6;7468140;605531;1728;
DB_8;7459916;607580;1197;
CC_4;7465167;617971;601;Tielmavadet
CC_5;7464534;621066;602;
CC_6;7472080;618418;813;
CC_7;7472822;618071;785;
BC_1;7479671;626277;811;
CD_1;7469124;635379;632;
BC_2;7481105;632010;805;
BD_1;7493537;636927;435;Suorva
BD_2;7479589;650942;397;Saltoluokta
DD_6;7458210;647904;632;
DD_7;7461290;648559;632;
DD_8;7452136;635737;498;
DC_6;7460963;626731;605;
CB_8;7477574;599167;787;
BB_5;7484508;594826;858;
BB_6;7487236;603550;862;
DB_9;7444511;593780;627;
CA_1;7467842;573017;597;Staloluokta
CB_12;7463415;594400;896;
CB_9;7466468;594943;801;
CB_10;7469022;595333;787;
CB_13;7469866;600548;792;
CB_11;7470851;594937;759;
DB_10;7454437;591759;706;
